code,province
DBG,Bắc Giang
TDB,Bắc Ninh
,Bắc Ninh
UKB,Bắc Ninh
BHIU,Bắc Ninh
HCB / HCN,Bắc Ninh
DHH,Hà Nam
DKY,Hải Dương
SDU,Hải Dương
SKH,Hải Dương
DKT,Hải Dương
DDB,Hải Dương
HHA,Hải Phòng
YPB,Hải Phòng
THP,Hải Phòng
DFA,Hưng Yên
DCA,Hưng Yên
DTP,Lào Cai
YDD,Nam Định
SKN,Nam Định
DTV,Nam Định
DNB,Ninh Bình
VUI,Phú Thọ
THV,Phú Thọ
QPH,Phú Thọ
,Phú Thọ
DDM,Quảng Ninh
,Quảng Ninh
HLU,Quảng Ninh
TTB,Sơn La
YTB,Thái Bình
DTB,Thái Bình
,Thái Nguyên
DTC,Thái Nguyên
DTZ,Thái Nguyên
DTE,Thái Nguyên
DTK,Thái Nguyên
DTN,Thái Nguyên
DTS,Thái Nguyên
DTY,Thái Nguyên
DVB,Thái Nguyên
TQU,Tuyên Quang
SP2,Vĩnh Phúc
,Vĩnh Phúc
DVP,Vĩnh Phúc
TGH,Vĩnh phúc
DQN,Bình Định
DQT,Bình Định
BMU,Đăk Lăk
NLG,Gia Lai
HHT,Hà Tĩnh
TSN,Khánh Hòa
UKH,Khánh Hòa
TBD,Khánh Hòa
HQH,Khánh Hòa
KGH / KGC,Khánh Hòa
TCU,Khánh Hòa
,Khánh Hòa
DDP,Kon Tum
TDL,Lâm Đồng
DYD,Lâm Đồng
,Lâm Đồng
TDV,Nghệ An
SKV,Nghệ An
YKV,Nghệ An
CEA,Nghệ An
DVX,Nghệ An
DCV,Nghệ An
NLN,Ninh Thuận
XDT,Phú Yên
,Phú Yên
DPY,Phú Yên
DQB,Quảng Bình
DQU,Quảng Nam
DPC,Quảng Nam
DPQ,Quảng Ngãi
IUQ,Quảng Ngãi
DHQ,Quảng Trị
YHT,Thanh Hóa
HDT,Thanh Hóa
DVD,Thanh Hóa
,Thanh Hóa
TAG,An Giang
PVU,Bà Rịa
,Bà Rịa
BVU,Bà Rịa Vũng Tàu
DBL,Bạc Liêu
,Bến Tre
,Bến Tre
,Bến Tre
,Bến Tre
VGU,Bình Dương
TDM,Bình Dương
DBD,Bình Dương
DKB,Bình Dương
EIU,Bình Dương
,Bình Dương
TDTU,Cà Mau
,Cà Mau
TCT,Cần Thơ
YCT,Cần Thơ
KCC,Cần Thơ
DNC,Cần Thơ
DTD,Cần Thơ
,Cần Thơ
LNS,Đồng Nai
DNU,Đồng Nai
DCD,Đồng Nai
DLH,Đồng Nai
LBH,Đồng Nai
AD2,Đồng Nai
SPD,Đồng Tháp
VTT,Hậu Giang
TKG,Kiên Giang
DLA,Long An
TTU,Long An
TTG,Tiền Giang
DVT,Trà Vinh
VLU,Vĩnh Long
