STT	Tên trường Đại học	Tên viết tắt	Mã trường	Địa chỉ
1	Đại học Quốc gia Hà Nội:	VNU	QHF	144 Xuân Thủy, Mai Dịch, Cầu Giấy, Hà Nội
2	Trường Đại học Công nghệ – ĐH QGHN	VNU-UET	QHI	144 Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội
3	Trường Đại học Giáo dục – ĐH QGHN	VNU-UED	QHS	Tòa nhà G7 145 Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội
4	Trường Đại học Kinh tế – ĐH QGHN	VNU-UEB	QHE	Tòa nhà E4, 144 đường Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội
5	Trường Đại học Khoa học Tự nhiên – ĐH QGHN	VNU-HUS	QHT	334 Nguyễn Trãi, phường Thanh Xuân Trung, Thanh Xuân, Hà Nội
6	Trường Đại học Khoa học Xã hội và Nhân văn – ĐH QGHN	VNU-USSH	QHX	336 Nguyễn Trãi, Thanh Xuân Trung, Thanh Xuân, Hà Nội
7	Trường Đại học Ngoại ngữ – ĐH QGHN	ULIS	QHF	Phạm Văn Đồng, Dịch Vọng Hậu, Cầu Giấy, Hà Nội
8	Trường Trường Đại học Việt – Nhật – ĐH QGHN	VJU		Đường Lưu Hữu Phước, Khu Đô thị, Mỹ Đình 1, Nam Từ Liêm, Hà Nội
9	Viện Trần Nhân Tông – ĐH QGHN			Tầng 8, toà C1T, ĐHQGHN, số, 144 Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội
10	Đại học Thương mại	TMU	TMA	1: 79 Đường Hồ Tùng Mậu, Mai Dịch, Cầu Giấy, Hà Nội
11	Đại học Công nghiệp Việt-Hung	VIU	VHD	1: Tầng 6, tòa nhà Hà Nội Center Point, số 27 Lê Văn Lương, Q.Thanh Xuân, TP.Hà Nội
12	Trường Đại học Bách khoa Hà Nội	HUST	BKA	1 Đại Cồ Việt, Bách Khoa, Hai Bà Trưng, Hà Nội
13	Trường Đại học Công đoàn	TUU	LDA	169 Tây Sơn, Quang Trung, Đống Đa, Hà Nội
14	Trường Đại học Công nghệ Giao thông Vận tải	UTT	GTA	Số 54, phố Triều Khúc, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội
15	Trường Đại học Công nghiệp Dệt May Hà Nội	HICT	CCM	Xã Lệ Chi, huyện Gia Lâm, thành phố Hà Nội
16	Trường Đại học Công nghiệp Hà Nội	HAUI	DCN	Số 298, Đường Cầu Diễn, Q.Bắc Từ Liêm, TP. Hà Nội
17	Trường Đại học Điện lực	EPU	DDL	Số 235 Hoàng Quốc Việt, Cổ Nhuế, Từ Liêm, Hà Nội
18	Trường Đại học Dược Hà Nội	HUP	DKH	13-15 Lê Thánh Tông, Phan Chu Trinh, Hoàn Kiếm, Hà Nội
19	Trường Đại học Giao thông Vận tải	UTC	GHA	Số 3 Đường Cầu Giấy, Ngọc Khánh, Đống Đa, Hà Nội
20	Trường Đại học Hà Nội	HANU	NHF	Km 9 Nguyễn Trãi, Thanh Xuân Bắc, Nam Từ Liêm, Hà Nội
21	Trường Đại học Khoa học và Công nghệ Hà Nội (USTH, Đại học Việt Pháp)	USTH	KCN	18 Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy, Hà Nội
22	Trường Đại học Kiểm sát Hà Nội	HPU	DKS	Đường Ỷ La, Dương Kinh, Hà Đông, Hà Nội
23	Trường Đại học Kiến trúc Hà Nội	HAU	KTA	Km10 Nguyễn Trãi, P. Văn Quán, Hà Đông, Hà Nội
24	Trường Đại học Kinh tế – Kỹ thuật Công nghiệp	UNETI	DKK	456 Phố Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội
25	Trường Đại học Kinh tế Quốc dân	NEU	KHA	207 Giải Phóng, Đồng Tâm, Hai Bà Trưng, Hà Nội
26	Trường Đại học Lâm nghiệp Việt Nam	VNUF	LNH	QL21, TT. Xuân Mai, Chương Mỹ, Hà Nội
27	Trường Đại học Lao động – Xã hội	ULSA	DLT	43 Trần Duy Hưng, Trung Hoà, Cầu Giấy, Hà Nội
28	Trường Đại học Luật Hà Nội	HLU	LPH	87 Nguyễn Chí Thanh, Thành Công, Đống Đa, Hà Nội
29	Trường Đại học Mỏ – Địa chất	HUMG	MDA	Số 18 phố Viên, phường Đức Thắng, quận Bắc Từ Liêm, Hà Nội
30	Trường Đại học Mỹ thuật Công nghiệp	MTCN	MTC	360 Đường La Thành, Chợ Dừa, Đống Đa, Hà Nội
31	Trường Đại học Mỹ thuật Việt Nam	VUFA	MTH	42 Yết Kiêu, Cửa Nam, Hoàn Kiếm, Hà Nội
32	Trường Đại học Ngoại thương	FTU	NTH	91 Chùa Láng, Láng Thượng, Đống Đa, Hà Nội
33	Trường Đại học Nội vụ Hà Nội	HUHA	DNV	Ngõ 36, Xuân La, Tây Hồ, Hà Nội
34	Đại học Sân khấu – Điện ảnh Hà Nội	SKD	SKD	Khu văn hóa nghệ thuật, Cầu Giấy, Hà Nội
35	Trường Đại học Sư phạm Hà Nội	HNUE	SPH	Số 136 Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội
36	Trường Đại học Sư phạm Nghệ thuật Trung ương	NUAE	GNT	18 Ngõ 55, P. Văn Quán, Hà Đông, Hà Nội
37	Trường Đại học Sư phạm Thể dục Thể thao Hà Nội	HUPES	TDH	Phụng Châu, Chương Mỹ, Hà Nội
38	Đại học Tài nguyên và Môi trường Hà Nội	HUNRE	DMT	41A Đường Phú Diễn, Cầu Diễn, Bắc Từ Liêm, Hà Nội
39	Trường Đại học Thủy lợi	TLU	TLA (Hà Nội), TLS (Cơ sở 2 – Tp.HCM)	Số 175 Tây Sơn, Trung Liệt, Đống Đa, Hà Nội
40	Trường Đại học Văn hóa Hà Nội	HUC	VHH	418 Đường La Thành, Chợ Dừa, Đống Đa, Hà Nội
41	Trường Đại học Xây dựng	NUCE	XDA	số 55 Giải Phóng, Đồng Tâm, Hai Bà Trưng, Hà Nội
42	Trường Đại học Y Hà Nội	HMU	YHB	Số 1 Tôn Thất Tùng, Kim Liên, Đống Đa, Hà Nội
43	Trường Đại học Y tế Công cộng	HUPH	YTC	số 1A Đường Đức Thắng, quận, Bắc Từ Liêm, Hà Nội
44	Trường Đại học Lao động – Xã hội, cơ sở Sơn Tây		DLT	Số 59 Đường Hữu Nghị, P. Xuân Khanh, Sơn Tây, Hà Nội
45	Học viện Âm nhạc Quốc gia Việt Nam	VNAM	NVH	77 Hào Nam, Chợ Dừa, Đống Đa, Hà Nội
46	Học viện Múa Việt Nam			Khu Văn hoá Nghệ thuật, Đường Hồ Tùng Mậu, Mai Dịch, Cầu Giấy, Hà Nội
47	Học viện Báo chí và Tuyên truyền	AJC	HBT	36 Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội
48	Học viện Cán bộ Quản lý xây dựng và đô thị	AMC		10 Nguyễn Trãi, Thanh Xuân Nam, Thanh Xuân, Hà Nội
49	Học viện Chính sách và phát triển	APD	HCP	Toà nhà Bộ Kế hoạch và Đầu tư, Ngõ 7 Tôn Thất Thuyết, Dịch Vọng Hậu, Cầu Giấy, Hà Nội
50	Học viện Chính trị – Hành chính Quốc gia Hồ Chí Minh	HCMA		135 Nguyễn Phong Sắc, Nghĩa Tân, Cầu Giấy, Hà Nội
51	Học viện Công nghệ Bưu chính Viễn thông	PTIT	BVH	Km10 đường Trần Phú, phường Mộ Lao, quận Hà Đông
52	Học viện Dân tộc	Academy for Ethnic Minorities (VAEM)		Dream Town, Tây Mỗ, Từ Liêm, Hà Nội
53	Học viện Hành chính Quốc gia	NAPA	HCH (Hà Nội), HCS (Tp.HCM)	77 Nguyễn Chí Thanh, Láng Thượng, Đống Đa, Hà Nội
54	Học viện Khoa học và Công nghệ	GUST	KCN	18 Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy, Hà Nội
55	Học viện Khoa học, Công nghệ và Đổi mới sáng tạo			38 Phố Ngô Quyền, Hàng Bài, Hoàn Kiếm, Hà Nội
56	Học viện Khoa học xã hội	GASS	GASS	Số 477 Nguyễn Trãi, Quận Thanh Xuân, Tp. Hà Nội
Cơ sở Tp. HCM: Số 57 (hẻm 59) Sương Nguyệt Ánh, P. Bến Thành, Q.1, Tp. HCM
Cơ sở Tp. Đà Nẵng: Tổ 40, Đường Nam Kỳ Khởi Nghĩa, P. Hòa Quý, Q. Ngũ Hành Sơn, Tp. Đà Nẵng
Cơ sở Tây Nguyên: Số 1A, Nguyễn Văn Linh, P. Tân An, Tp. Buôn Mê Thuột, Đắk Lắk
57	Học viện Ngân hàng	BA	NHH	12 Chùa Bộc, Quang Trung, Đống Đa, Hà Nội
58	Học viện Ngoại giao Việt Nam	DAV	QHT	69 Chùa Láng, Láng Thượng, Đống Đa, Hà Nội
59	Học viện Nông nghiệp Việt Nam	VNUA	HVN	Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội
60	Học viện Phụ nữ Việt Nam	VWA	HPN	68 Nguyễn Chí Thanh, Láng Thượng, Đống Đa, Hà Nội
61	Học viện Quản lý Giáo dục	National Academy of Education Managenment (NAEM)	HVQ	31 Phan Đình Giót, Phương Liệt, Thanh Xuân, Hà Nội
62	Học viện Tài chính	AOF	HTC	Số 58 Lê Văn Hiến, Phường Đức Thắng, Từ Liêm, Hà Nội
63	Học viện Thanh thiếu niên Việt Nam	VYA	HTN	58 Nguyễn Chí Thanh, Láng Thượng, Đống Đa, Hà Nội
64	Học viện Tòa án		HTA	QL18B, Kim Sơn, Gia Lâm, Hà Nội
65	Học viện Tư Pháp	‎Judicial Academy		Số 9 Trần Vỹ, Mai Dịch, Cầu Giấy, Hà Nội
66	Học viện Y dược học cổ truyền Việt Nam	VATM	HYD	2 Trần Phú, P. Mộ Lao, Hà Đông, Hà Nội
67	Viện Đại học Mở Hà Nội	HOU	MHN	Nhà B101, Phố Nguyễn Hiền, phường Bách Khoa, Q.Hai Bà Trưng, TP. Hà Nội
68	Trường Đại học Thủ đô Hà Nội	HMU	HNM	98 phố Dương Quảng Hàm, Quan Hoa, Cầu Giấy, Hà Nội
69	Trường Đại học Công nghệ Đông Á	East Asia University of Technology (EAUT)	DDA	Tầng 5 tòa nhà Polyco, Phố Trịnh Văn Bô, Xuân Phương, Nam Từ Liêm, Hà Nội
70	Trường Đại học Công nghệ và Quản lý Hữu nghị	UTM	DCQ	Số 431 Đường Tam Trinh, Hoàng Văn Thụ, Hoàng Mai, Hà Nội
71	Trường Đại học Đại Nam	Dai Nam University (DNU)	DDN	Số 1 Phố Xốm, Phú Lâm, Hà Đông, Hà Nội
72	Trường Đại học Đông Đô	Hanoi Dong Do International University	DDD	60B Nguyễn Huy Tưởng, Thanh Xuân Trung, Thanh Xuân, Hà Nội
73	Trường Đại học FPT			KM29 Khu GD&ĐT, Khu CNC, ĐCT08, Hòa Lạc, Thạch Thất, Hà Nội
74	Trường Đại học Hòa Bình	PEACE UNIVERSITY	ETU	Số 8 Bùi Xuân Phái, Mỹ Đình, Nam Từ Liêm, Hà Nội
75	Trường Đại học Kinh doanh và Công nghệ Hà Nội	Ha Noi University of Business and Technology (HUBT)	DQK	Số 29A Ngõ 124 Phố Vĩnh Tuy, Thanh Long, Hai Bà Trưng, Hà Nội
76	Trường Đại học Mỹ thuật Công nghiệp Á Châu	Asia University of Arts and Design (AUAD)	MCA	360 Đường La Thành, Chợ Dừa, Đống Đa, Hà Nội
77	Trường Đại học Nguyễn Trãi	Nguyen Trai University (NTU)	NTU	Số 28A Đ.Lê Trọng Tấn, Hà Cầu, Hà Đông, Hà Nội
78	Đại học Phương Đông	Phuong Dong University	DPD	171 Trung Kính, Yên Hoà, Cầu Giấy, Hà Nội
79	Trường Đại học RMIT	RMIT University Vietnam	RMU	Handi Resco Building, 521 Kim Mã, Ngọc Khánh, Ba Đình, Hà Nội
80	Trường Đại học Tài chính – Ngân hàng Hà Nội	Hanoi Financial and Banking University – FBU)	FBU	136 Phạm Văn Đồng, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội
81	Trường Đại học Thăng Long	Thăng Long University (TLU)	DTL	Nghiêm Xuân Yêm, Đại Kim, Hoàng Mai, Hà Nội
82	Trường Đại học Thành Đô	Thanh Do University (TDU)	TDD	QL32, Đức Giang, Hoài Đức, Hà Nội
83	Trường Đại học Thành Tây	Thanh Tay University Hanoi	DTA	Km 15, Quốc lộ 6, phường Yên Nghĩa, Hà Đông, Hà Nội.
84	Học viện Biên phòng		BPH	Phường Sơn Lộc, thị xã Sơn Tây, thành phố Hà Nội
85	Học viện Chính trị Quân sự			124 Ngô Quyền, P. Quang Trung, Hà Đông, Hà Nội
